[INFO] [1644574471.270390064] [usb_cam]: camera_name value: default_cam
[WARN] [1644574471.270653823] [usb_cam]: framerate: 10.000000
[INFO] [1644574471.277318101] [usb_cam]: using default calibration URL
[INFO] [1644574471.277466971] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574471.299147230] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574471.299251378] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574471.299312989] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574471.299421934] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574471.788798792] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574471.813607217] [usb_cam]: Set framerate to be 10
[INFO] [1644574471.826293439] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574471.826486828] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574471.832772865] [usb_cam]:   1 1 / 15
[INFO] [1644574471.832824439] [usb_cam]:   1 1 / 10
[INFO] [1644574471.832875809] [usb_cam]:   1 1 / 5
[INFO] [1644574471.832930995] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574471.832984698] [usb_cam]:   1 1 / 30
[INFO] [1644574471.833036476] [usb_cam]:   1 1 / 25
[INFO] [1644574471.833087809] [usb_cam]:   1 1 / 20
[INFO] [1644574471.833139532] [usb_cam]:   1 1 / 15
[INFO] [1644574471.833191791] [usb_cam]:   1 1 / 10
[INFO] [1644574471.833243383] [usb_cam]:   1 1 / 5
[INFO] [1644574471.833297883] [usb_cam]:   width: 320 x height: 176
[INFO] [1644574471.833349920] [usb_cam]:   1 1 / 30
[INFO] [1644574471.833443957] [usb_cam]:   1 1 / 25
[INFO] [1644574471.833499050] [usb_cam]:   1 1 / 20
[INFO] [1644574471.833551624] [usb_cam]:   1 1 / 15
[INFO] [1644574471.833602902] [usb_cam]:   1 1 / 10
[INFO] [1644574471.833653920] [usb_cam]:   1 1 / 5
[INFO] [1644574471.833709087] [usb_cam]:   width: 320 x height: 240
[INFO] [1644574471.833762791] [usb_cam]:   1 1 / 30
[INFO] [1644574471.833814402] [usb_cam]:   1 1 / 25
[INFO] [1644574471.833865698] [usb_cam]:   1 1 / 20
[INFO] [1644574471.833931457] [usb_cam]:   1 1 / 15
[INFO] [1644574471.833984272] [usb_cam]:   1 1 / 10
[INFO] [1644574471.834036235] [usb_cam]:   1 1 / 5
[INFO] [1644574471.834091032] [usb_cam]:   width: 352 x height: 288
[INFO] [1644574471.834144013] [usb_cam]:   1 1 / 30
[INFO] [1644574471.834195346] [usb_cam]:   1 1 / 25
[INFO] [1644574471.834246680] [usb_cam]:   1 1 / 20
[INFO] [1644574471.834297717] [usb_cam]:   1 1 / 15
[INFO] [1644574471.834349217] [usb_cam]:   1 1 / 10
[INFO] [1644574471.834400661] [usb_cam]:   1 1 / 5
[INFO] [1644574471.834455717] [usb_cam]:   width: 432 x height: 240
[INFO] [1644574471.834509217] [usb_cam]:   1 1 / 30
[INFO] [1644574471.834561143] [usb_cam]:   1 1 / 25
[INFO] [1644574471.834612606] [usb_cam]:   1 1 / 20
[INFO] [1644574471.834664309] [usb_cam]:   1 1 / 15
[INFO] [1644574471.834715865] [usb_cam]:   1 1 / 10
[INFO] [1644574471.834768476] [usb_cam]:   1 1 / 5
[INFO] [1644574471.834821050] [usb_cam]:   width: 544 x height: 288
[INFO] [1644574471.834874365] [usb_cam]:   1 1 / 30
[INFO] [1644574471.834930254] [usb_cam]:   1 1 / 25
[INFO] [1644574471.834978439] [usb_cam]:   1 1 / 20
[INFO] [1644574471.835025643] [usb_cam]:   1 1 / 15
[INFO] [1644574471.835072939] [usb_cam]:   1 1 / 10
[INFO] [1644574471.835129365] [usb_cam]:   1 1 / 5
[INFO] [1644574471.835189476] [usb_cam]:   width: 640 x height: 360
[INFO] [1644574471.835270050] [usb_cam]:   1 1 / 30
[INFO] [1644574471.835324735] [usb_cam]:   1 1 / 25
[INFO] [1644574471.835377494] [usb_cam]:   1 1 / 20
[INFO] [1644574471.835445106] [usb_cam]:   1 1 / 15
[INFO] [1644574471.835502402] [usb_cam]:   1 1 / 10
[INFO] [1644574471.835555606] [usb_cam]:   1 1 / 5
[INFO] [1644574471.835613698] [usb_cam]:   width: 752 x height: 416
[INFO] [1644574471.835668661] [usb_cam]:   1 1 / 30
[INFO] [1644574471.835719680] [usb_cam]:   1 1 / 25
[INFO] [1644574471.835770494] [usb_cam]:   1 1 / 20
[INFO] [1644574471.835821902] [usb_cam]:   1 1 / 15
[INFO] [1644574471.835872976] [usb_cam]:   1 1 / 10
[INFO] [1644574471.835924383] [usb_cam]:   1 1 / 5
[INFO] [1644574471.835977902] [usb_cam]:   width: 800 x height: 448
[INFO] [1644574471.836030698] [usb_cam]:   1 1 / 30
[INFO] [1644574471.836081476] [usb_cam]:   1 1 / 25
[INFO] [1644574471.836132457] [usb_cam]:   1 1 / 20
[INFO] [1644574471.836183365] [usb_cam]:   1 1 / 15
[INFO] [1644574471.836234050] [usb_cam]:   1 1 / 10
[INFO] [1644574471.836284939] [usb_cam]:   1 1 / 5
[INFO] [1644574471.836338661] [usb_cam]:   width: 800 x height: 600
[INFO] [1644574471.836392291] [usb_cam]:   1 1 / 30
[INFO] [1644574471.836445754] [usb_cam]:   1 1 / 25
[INFO] [1644574471.836496809] [usb_cam]:   1 1 / 20
[INFO] [1644574471.836547957] [usb_cam]:   1 1 / 15
[INFO] [1644574471.836598661] [usb_cam]:   1 1 / 10
[INFO] [1644574471.836649661] [usb_cam]:   1 1 / 5
[INFO] [1644574471.836724476] [usb_cam]:   width: 864 x height: 480
[INFO] [1644574471.836778328] [usb_cam]:   1 1 / 30
[INFO] [1644574471.836829513] [usb_cam]:   1 1 / 25
[INFO] [1644574471.836885828] [usb_cam]:   1 1 / 20
[INFO] [1644574471.836937902] [usb_cam]:   1 1 / 15
[INFO] [1644574471.836990328] [usb_cam]:   1 1 / 10
[INFO] [1644574471.837041272] [usb_cam]:   1 1 / 5
[INFO] [1644574471.837095235] [usb_cam]:   width: 960 x height: 544
[INFO] [1644574471.837149217] [usb_cam]:   1 1 / 30
[INFO] [1644574471.837200939] [usb_cam]:   1 1 / 25
[INFO] [1644574471.837252402] [usb_cam]:   1 1 / 20
[INFO] [1644574471.837303217] [usb_cam]:   1 1 / 15
[INFO] [1644574471.837353606] [usb_cam]:   1 1 / 10
[INFO] [1644574471.837405124] [usb_cam]:   1 1 / 5
[INFO] [1644574471.837459920] [usb_cam]:   width: 960 x height: 720
[INFO] [1644574471.837573106] [usb_cam]:   1 1 / 30
[INFO] [1644574471.837629717] [usb_cam]:   1 1 / 25
[INFO] [1644574471.837682383] [usb_cam]:   1 1 / 20
[INFO] [1644574471.837733846] [usb_cam]:   1 1 / 15
[INFO] [1644574471.837785513] [usb_cam]:   1 1 / 10
[INFO] [1644574471.837836143] [usb_cam]:   1 1 / 5
[INFO] [1644574471.837890605] [usb_cam]:   width: 1024 x height: 576
[INFO] [1644574471.837945180] [usb_cam]:   1 1 / 30
[INFO] [1644574471.837996180] [usb_cam]:   1 1 / 25
