[INFO] [1644574228.529511867] [usb_cam]: camera_name value: default_cam
[WARN] [1644574228.529790404] [usb_cam]: framerate: 10.000000
[INFO] [1644574228.536225571] [usb_cam]: using default calibration URL
[INFO] [1644574228.536369182] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[ERROR] [1644574228.536590330] [camera_calibration_parsers]: Unable to open camera calibration file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574228.536643108] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574228.536715682] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574229.024890236] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574229.049707753] [usb_cam]: Set framerate to be 10
[INFO] [1644574229.062345919] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574229.062532641] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574229.068134104] [usb_cam]:   width: 1280 x height: 720
[INFO] [1644574229.068190271] [usb_cam]:   1 2 / 15
[INFO] [1644574229.068244030] [usb_cam]:   1 1 / 5
[INFO] [1644574229.068301752] [usb_cam]:   width: 1280 x height: 960
[INFO] [1644574229.068357197] [usb_cam]:   1 2 / 15
[INFO] [1644574229.068410715] [usb_cam]:   1 1 / 5
[INFO] [1644574229.068474938] [usb_cam]:   Motion-JPEG[Index: 1, Type: 1, Flags: 1, PixelFormat: 47504a4d]
[INFO] [1644574229.068531104] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574229.068586567] [usb_cam]:   1 1 / 30
[INFO] [1644574229.068639512] [usb_cam]:   1 1 / 25
[INFO] [1644574229.068691604] [usb_cam]:   1 1 / 20
[INFO] [1644574229.068744993] [usb_cam]:   1 1 / 15
[INFO] [1644574229.068797789] [usb_cam]:   1 1 / 10
[INFO] [1644574229.068850678] [usb_cam]:   1 1 / 5
[INFO] [1644574229.068908012] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574229.068963419] [usb_cam]:   1 1 / 30
[INFO] [1644574229.069033456] [usb_cam]:   1 1 / 25
[INFO] [1644574229.069086271] [usb_cam]:   1 1 / 20
[INFO] [1644574229.069138400] [usb_cam]:   1 1 / 15
[INFO] [1644574229.069190660] [usb_cam]:   1 1 / 10
[INFO] [1644574229.069242308] [usb_cam]:   1 1 / 5
[INFO] [1644574229.069298326] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574229.069353178] [usb_cam]:   1 1 / 30
[INFO] [1644574229.069407271] [usb_cam]:   1 1 / 25
[INFO] [1644574229.069460530] [usb_cam]:   1 1 / 20
[INFO] [1644574229.069513437] [usb_cam]:   1 1 / 15
[INFO] [1644574229.069566975] [usb_cam]:   1 1 / 10
[INFO] [1644574229.069620437] [usb_cam]:   1 1 / 5
[INFO] [1644574229.069677826] [usb_cam]:   width: 320 x height: 176
[INFO] [1644574229.069733512] [usb_cam]:   1 1 / 30
[INFO] [1644574229.069786234] [usb_cam]:   1 1 / 25
[INFO] [1644574229.069838937] [usb_cam]:   1 1 / 20
[INFO] [1644574229.069892197] [usb_cam]:   1 1 / 15
[INFO] [1644574229.069944752] [usb_cam]:   1 1 / 10
[INFO] [1644574229.070056530] [usb_cam]:   1 1 / 5
[INFO] [1644574229.070117345] [usb_cam]:   width: 320 x height: 240
[INFO] [1644574229.070173308] [usb_cam]:   1 1 / 30
[INFO] [1644574229.070227826] [usb_cam]:   1 1 / 25
[INFO] [1644574229.070281160] [usb_cam]:   1 1 / 20
[INFO] [1644574229.070349400] [usb_cam]:   1 1 / 15
[INFO] [1644574229.070402012] [usb_cam]:   1 1 / 10
[INFO] [1644574229.070454067] [usb_cam]:   1 1 / 5
[INFO] [1644574229.070509456] [usb_cam]:   width: 352 x height: 288
[INFO] [1644574229.070563845] [usb_cam]:   1 1 / 30
[INFO] [1644574229.070617512] [usb_cam]:   1 1 / 25
[INFO] [1644574229.070671937] [usb_cam]:   1 1 / 20
[INFO] [1644574229.070728808] [usb_cam]:   1 1 / 15
[INFO] [1644574229.070778178] [usb_cam]:   1 1 / 10
[INFO] [1644574229.070832104] [usb_cam]:   1 1 / 5
[INFO] [1644574229.070889308] [usb_cam]:   width: 432 x height: 240
[INFO] [1644574229.070945771] [usb_cam]:   1 1 / 30
[INFO] [1644574229.070999660] [usb_cam]:   1 1 / 25
[INFO] [1644574229.071052549] [usb_cam]:   1 1 / 20
[INFO] [1644574229.071101123] [usb_cam]:   1 1 / 15
[INFO] [1644574229.071148400] [usb_cam]:   1 1 / 10
[INFO] [1644574229.071204493] [usb_cam]:   1 1 / 5
[INFO] [1644574229.071261456] [usb_cam]:   width: 544 x height: 288
[INFO] [1644574229.071316326] [usb_cam]:   1 1 / 30
[INFO] [1644574229.071369271] [usb_cam]:   1 1 / 25
[INFO] [1644574229.071421845] [usb_cam]:   1 1 / 20
[INFO] [1644574229.071496660] [usb_cam]:   1 1 / 15
[INFO] [1644574229.071552400] [usb_cam]:   1 1 / 10
[INFO] [1644574229.071605697] [usb_cam]:   1 1 / 5
[INFO] [1644574229.071662271] [usb_cam]:   width: 640 x height: 360
[INFO] [1644574229.071734326] [usb_cam]:   1 1 / 30
[INFO] [1644574229.071789400] [usb_cam]:   1 1 / 25
[INFO] [1644574229.071843419] [usb_cam]:   1 1 / 20
[INFO] [1644574229.071896400] [usb_cam]:   1 1 / 15
[INFO] [1644574229.071951160] [usb_cam]:   1 1 / 10
[INFO] [1644574229.072004919] [usb_cam]:   1 1 / 5
[INFO] [1644574229.072062308] [usb_cam]:   width: 752 x height: 416
[INFO] [1644574229.072118586] [usb_cam]:   1 1 / 30
[INFO] [1644574229.072172641] [usb_cam]:   1 1 / 25
[INFO] [1644574229.072226104] [usb_cam]:   1 1 / 20
[INFO] [1644574229.072278808] [usb_cam]:   1 1 / 15
[INFO] [1644574229.072331567] [usb_cam]:   1 1 / 10
[INFO] [1644574229.072385141] [usb_cam]:   1 1 / 5
[INFO] [1644574229.072441586] [usb_cam]:   width: 800 x height: 448
[INFO] [1644574229.072496641] [usb_cam]:   1 1 / 30
[INFO] [1644574229.072550511] [usb_cam]:   1 1 / 25
[INFO] [1644574229.072603511] [usb_cam]:   1 1 / 20
[INFO] [1644574229.072657086] [usb_cam]:   1 1 / 15
[INFO] [1644574229.072709456] [usb_cam]:   1 1 / 10
[INFO] [1644574229.072762030] [usb_cam]:   1 1 / 5
[INFO] [1644574229.072818400] [usb_cam]:   width: 800 x height: 600
[INFO] [1644574229.072873641] [usb_cam]:   1 1 / 30
[INFO] [1644574229.072927511] [usb_cam]:   1 1 / 25
[INFO] [1644574229.072980548] [usb_cam]:   1 1 / 20
[INFO] [1644574229.073033919] [usb_cam]:   1 1 / 15
[INFO] [1644574229.073086789] [usb_cam]:   1 1 / 10
[INFO] [1644574229.073141141] [usb_cam]:   1 1 / 5
[INFO] [1644574229.073216289] [usb_cam]:   width: 864 x height: 480
[INFO] [1644574229.073271511] [usb_cam]:   1 1 / 30
[INFO] [1644574229.073325419] [usb_cam]:   1 1 / 25
[INFO] [1644574229.073382085] [usb_cam]:   1 1 / 20
[INFO] [1644574229.073437011] [usb_cam]:   1 1 / 15
[INFO] [1644574229.073490974] [usb_cam]:   1 1 / 10
[INFO] [1644574229.073544141] [usb_cam]:   1 1 / 5
[INFO] [1644574229.073599400] [usb_cam]:   width: 960 x height: 544
[INFO] [1644574229.073654808] [usb_cam]:   1 1 / 30
[INFO] [1644574229.073708067] [usb_cam]:   1 1 / 25
[INFO] [1644574229.073761660] [usb_cam]:   1 1 / 20
[INFO] [1644574229.073814511] [usb_cam]:   1 1 / 15
[INFO] [1644574229.073867456] [usb_cam]:   1 1 / 10
[INFO] [1644574229.073920197] [usb_cam]:   1 1 / 5
[INFO] [1644574229.073976548] [usb_cam]:   width: 960 x height: 720
[INFO] [1644574229.074031271] [usb_cam]:   1 1 / 30
[INFO] [1644574229.074084882] [usb_cam]:   1 1 / 25
[INFO] [1644574229.074138363] [usb_cam]:   1 1 / 20
[INFO] [1644574229.074243419] [usb_cam]:   1 1 / 15
[INFO] [1644574229.074299789] [usb_cam]:   1 1 / 10
[INFO] [1644574229.074353104] [usb_cam]:   1 1 / 5
[INFO] [1644574229.074409622] [usb_cam]:   width: 1024 x height: 576
[INFO] [1644574229.074464900] [usb_cam]:   1 1 / 30
[INFO] [1644574229.074518456] [usb_cam]:   1 1 / 25
[INFO] [1644574229.074571141] [usb_cam]:   1 1 / 20
[INFO] [1644574229.074619734] [usb_cam]:   1 1 / 15
[INFO] [1644574229.074675789] [usb_cam]:   1 1 / 10
[INFO] [1644574229.074730215] [usb_cam]:   1 1 / 5
[INFO] [1644574229.074787863] [usb_cam]:   width: 1184 x height: 656
[INFO] [1644574229.074844937] [usb_cam]:   1 1 / 30
[INFO] [1644574229.074921493] [usb_cam]:   1 1 / 25
[INFO] [1644574229.074975252] [usb_cam]:   1 1 / 20
[INFO] [1644574229.075030067] [usb_cam]:   1 1 / 15
[INFO] [1644574229.075084345] [usb_cam]:   1 1 / 10
[INFO] [1644574229.075137789] [usb_cam]:   1 1 / 5
[INFO] [1644574229.075196271] [usb_cam]:   width: 1280 x height: 720
[INFO] [1644574229.075254030] [usb_cam]:   1 1 / 30
[INFO] [1644574229.075307993] [usb_cam]:   1 1 / 25
[INFO] [1644574229.075362993] [usb_cam]:   1 1 / 20
[INFO] [1644574229.075416604] [usb_cam]:   1 1 / 15
[INFO] [1644574229.075487919] [usb_cam]:   1 1 / 10
[INFO] [1644574229.075542474] [usb_cam]:   1 1 / 5
[INFO] [1644574229.075600141] [usb_cam]:   width: 1280 x height: 960
[INFO] [1644574229.075656511] [usb_cam]:   1 1 / 30
[INFO] [1644574229.075711863] [usb_cam]:   1 1 / 25
[INFO] [1644574229.075765974] [usb_cam]:   1 1 / 20
[INFO] [1644574229.075819734] [usb_cam]:   1 1 / 15
[INFO] [1644574229.075872622] [usb_cam]:   1 1 / 10
[INFO] [1644574229.075926863] [usb_cam]:   1 1 / 5
[INFO] [1644574229.076099734] [usb_cam]: starting timer 100
[INFO] [1644574282.298303768] [rclcpp]: signal_handler(signal_value=2)
